Occupation Code,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,90
11-1011,0.0,0.2,0.4,3.3,7.1,4.4,1.9,1.3,2.2,5.9,1.6,10.8,6.4,3.1,5.9,6.5,1.2,0.6,4.1,10.0
11-2020,0.0,0.2,0.4,1.2,10.0,8.2,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.2,0.2,1.4,10.8,19.9,17.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1931,0.0,0.2,1.3,0.3,2.0,1.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.5,1.0,2.3,7.2,3.9,2.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.2,0.5,0.4,7.0,3.7,1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1931,0.0,0.5,0.4,2.4,6.4,3.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1961,0.0,0.6,0.7,2.5,27.3,11.8,4.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1971,0.0,0.5,0.8,0.9,10.9,14.8,3.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.5,0.9,1.3,7.4,1.9,0.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.5,0.6,1.4,11.7,4.1,1.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1931,0.0,0.4,1.4,1.2,5.5,4.0,1.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.5,0.4,49.1,0.5,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1941,0.0,1.1,2.4,2.1,35.1,2.5,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-2020,0.0,0.4,0.1,0.1,10.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1941,0.0,0.5,0.1,1.4,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
